nohup: ignoring input
进度: 完成 5 个, 失败 0 个
进度: 完成 19 个, 失败 541 个
进度: 完成 19 个, 失败 546 个
进度: 完成 19 个, 失败 551 个
进度: 完成 19 个, 失败 556 个
进度: 完成 19 个, 失败 561 个
进度: 完成 19 个, 失败 566 个
进度: 完成 19 个, 失败 571 个
进度: 完成 19 个, 失败 576 个
进度: 完成 19 个, 失败 581 个
进度: 完成 19 个, 失败 586 个
进度: 完成 19 个, 失败 591 个
进度: 完成 19 个, 失败 596 个
进度: 完成 19 个, 失败 601 个
进度: 完成 19 个, 失败 606 个
进度: 完成 19 个, 失败 611 个
进度: 完成 19 个, 失败 616 个
进度: 完成 19 个, 失败 621 个
进度: 完成 19 个, 失败 626 个
进度: 完成 19 个, 失败 631 个
进度: 完成 19 个, 失败 636 个
进度: 完成 19 个, 失败 641 个
进度: 完成 19 个, 失败 646 个
进度: 完成 19 个, 失败 651 个
进度: 完成 19 个, 失败 656 个
进度: 完成 19 个, 失败 661 个
进度: 完成 19 个, 失败 666 个
进度: 完成 19 个, 失败 671 个
进度: 完成 19 个, 失败 676 个
进度: 完成 19 个, 失败 681 个
进度: 完成 19 个, 失败 686 个
进度: 完成 19 个, 失败 691 个
进度: 完成 19 个, 失败 696 个
进度: 完成 19 个, 失败 701 个
进度: 完成 19 个, 失败 706 个
进度: 完成 19 个, 失败 711 个
进度: 完成 19 个, 失败 716 个
进度: 完成 19 个, 失败 721 个
进度: 完成 19 个, 失败 726 个
进度: 完成 19 个, 失败 731 个
进度: 完成 19 个, 失败 736 个
进度: 完成 19 个, 失败 741 个
进度: 完成 19 个, 失败 746 个
进度: 完成 19 个, 失败 751 个
进度: 完成 19 个, 失败 756 个
进度: 完成 19 个, 失败 761 个
进度: 完成 19 个, 失败 766 个
进度: 完成 19 个, 失败 771 个
进度: 完成 19 个, 失败 776 个
进度: 完成 20 个, 失败 780 个
进度: 完成 20 个, 失败 785 个
进度: 完成 20 个, 失败 790 个
进度: 完成 20 个, 失败 795 个
进度: 完成 20 个, 失败 800 个
进度: 完成 20 个, 失败 805 个
进度: 完成 20 个, 失败 810 个
进度: 完成 20 个, 失败 815 个
进度: 完成 20 个, 失败 820 个
进度: 完成 20 个, 失败 825 个
进度: 完成 20 个, 失败 830 个
进度: 完成 20 个, 失败 835 个
进度: 完成 20 个, 失败 840 个
进度: 完成 20 个, 失败 845 个
进度: 完成 20 个, 失败 850 个
进度: 完成 20 个, 失败 855 个
进度: 完成 20 个, 失败 860 个
进度: 完成 20 个, 失败 865 个
进度: 完成 20 个, 失败 870 个
进度: 完成 20 个, 失败 875 个
进度: 完成 20 个, 失败 880 个
进度: 完成 20 个, 失败 885 个
进度: 完成 20 个, 失败 890 个
进度: 完成 20 个, 失败 895 个
进度: 完成 20 个, 失败 900 个
进度: 完成 20 个, 失败 905 个
进度: 完成 20 个, 失败 910 个
进度: 完成 20 个, 失败 915 个
进度: 完成 20 个, 失败 920 个
进度: 完成 20 个, 失败 925 个
进度: 完成 20 个, 失败 930 个
进度: 完成 20 个, 失败 935 个
进度: 完成 20 个, 失败 940 个
进度: 完成 20 个, 失败 945 个
进度: 完成 20 个, 失败 950 个
进度: 完成 20 个, 失败 955 个
进度: 完成 20 个, 失败 960 个
进度: 完成 20 个, 失败 965 个
进度: 完成 20 个, 失败 970 个
进度: 完成 20 个, 失败 975 个
进度: 完成 24 个, 失败 976 个
全部任务结束: 成功 24, 失败 976
